show_id,type,title,cast,release_year,duration,listed_in,description,platform,min,season
s385,Movie,Pompeii: Secrets Of The Dead,Maite Jauregui,2019,45 min,"Documentary, Historical",Forensic experts scan Pompeii’s victims to investigate why they didn’t escape the eruption.,disney,45,min
s386,Movie,Toy Story of Terror!,"Tom Hanks, Tim Allen, Joan Cusack, Carl Weathers, Stephen Tobolowsky, Timothy Dalton",2013,22 min,"Animation, Comedy, Family",Join the Toy Story gang in a frighteningly fun animated adventure.,disney,22,min
s387,Movie,Beverly Hills Chihuahua,"Piper Perabo, Manolo Cardona, Jamie Curtis, Jose Yazpik, Maury Sterling, Jesus Ochoa",2008,95 min,"Action-Adventure, Comedy, Family","Papi has to rescue his true love, Chloe, when she gets lost in Mexico.",disney,95,min
s388,Movie,Clouds,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",2020,122 min,"Biographical, Drama, Music",A young musician with months to live turns to music to make the most of the time he has left.,disney,122,min
s389,Movie,Lost on Everest,Tate Donovan,2020,60 min,"Animals & Nature, Documentary, Survival",The quest to reveal what happened to the explorers who first set out to summit Mt. Everest.,disney,60,min
s390,Movie,Marvel's Iron Man & Captain America: Heroes United,"Adrian Pasdar, Roger Smith, Fred Tatasciore, David Kaye, Liam O'Brien, Clancy Brown",2014,72 min,"Action-Adventure, Animation, Science Fiction",Iron Man and Captain America battle the Red Skull and Taskmaster.,disney,72,min
s391,TV Show,Meet The Chimps,Jane Lynch,2020,1 Season,"Animals & Nature, Docuseries, Family","Meet the Chimps takes viewers inside the secret life of Chimp Haven, a unique wildlife sanctuary.",disney,1,Season
s392,TV Show,The Rocketeer,"Kitana Turnbull, Billy Campbell, Kathy Najimy, Callan Farris, Frank Welker",2019,1 Season,"Action-Adventure, Animation, Kids",Kit becomes a rocket-pack wearing superhero!,disney,1,Season
s393,Movie,Oil Spill of The Century,Loïck Peyron,2019,45 min,"Documentary, Historical",Loïck Peyron investigates the 1978 Amoco Cadiz oil spill and its impact.,disney,45,min
s394,Movie,The Chronicles Of Narnia: The Voyage of the Dawn Treader,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton",2010,113 min,"Action-Adventure, Family, Fantasy",Three heroes sail with King Caspian to help Narnian lords banished by an evil usurper of the throne.,disney,113,min
s395,TV Show,The Right Stuff,"Jake McDorman, Patrick Adams, Colin O’Donoghue, Eloise Mumford, James Lafferty, Nora Zehetner",2020,1 Season,"Drama, Historical",The incredible story of the Mercury Seven astronauts and their extraordinary achievements.,disney,1,Season
s396,Movie,Wild Portugal,Bart Thomasson,2020,45 min,"Animals & Nature, Documentary, Family",Explore a rugged world where diverse species fight for survival.,disney,45,min
s397,Movie,X2,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",2003,134 min,"Action-Adventure, Family, Science Fiction","X-Men newcomer, Night Crawler, joins Magneto to rescue their brethren and forestall a holocaust.",disney,134,min
s398,Movie,Mr. Holland's Opus,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",1996,143 min,"Drama, Music",A musician finds his passion when he takes a “day job” as a music teacher.,disney,143,min
s399,Movie,Disneynature Oceans,"Pierce Brosnan, Lancelot Perrin",2010,84 min,"Animals & Nature, Documentary, Family",Journey into the depths of a wonderland filled with beauty and power.,disney,84,min
s400,Movie,Hidden Figures,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",2016,128 min,"Biographical, Drama, Family",A story about three women at NASA who helped launch John Glenn into orbit.,disney,128,min
s401,TV Show,Magic of Disney's Animal Kingdom,Josh Gad,2020,1 Season,"Animals & Nature, Docuseries, Family",Magic of Disney’s Animal Kingdom goes backstage at Walt Disney World Resort. Narrated by Josh Gad.,disney,1,Season
s402,Movie,Secret Society of Second-Born Royals,"Peyton Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble, Skylar Astin, Elodie Yung",2020,99 min,"Action-Adventure, Coming of Age, Family","Sam, a rebellious royal, learns she is part of the Secret Society of Second-Born Royals.",disney,99,min
s403,Movie,The Giant Robber Crab,Colin Solman,2019,44 min,"Animals & Nature, Documentary","As we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies.",disney,44,min
s404,TV Show,Wild Central America,Nigel Marven,2020,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Presenter Nigel Marven discovers the colourful and varied wildlife and culture of Central America.,disney,1,Season
s405,TV Show,Ancient China from Above,Dr. Allan Maca,2020,1 Season,"Docuseries, Historical",Archaeologist Allan Maca reveals the amazing wonders of Ancient China like never before.,disney,1,Season
s406,TV Show,Becoming,sin dato,2020,1 Season,"Anthology, Docuseries, Family","Becoming chronicles the origin stories of world-class entertainers, musicians and athletes.",disney,1,Season
s407,TV Show,Coop & Cami Ask The World,"Ruby Turner, Dakota Lotus, Olivia Sanabia, Albert Tsai, Paxton Booth, Rebecca Metz",2018,2 Seasons,"Comedy, Family, Kids","Cooper and Cami Wrather co-host ""Would You Wrather.""",disney,2,Seasons
s408,TV Show,Europe from Above,Julian Barratt,2019,1 Season,"Docuseries, Reality",Europe from Above takes to the air over Europe’s finest cultural and geographical landmarks.,disney,1,Season
s409,Movie,Ever After: A Cinderella Story,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey, Megan Dodds, Melanie Lynskey",1998,122 min,"Drama, Romance",A young woman falls in love with a prince while pretending to be a princess.,disney,122,min
s410,TV Show,Kingdom of the Mummies,Kerry Shale,2020,1 Season,"Docuseries, Historical, Reality",A team of archaeologists uncover the first Egyptian funeral parlor ever found.,disney,1,Season
s411,Movie,Morning Light,Patrick Warburton,2008,99 min,"Documentary, Sports","Fifteen rookie sailors race to be part of the ""Morning Light"" crew.",disney,99,min
s412,Movie,Notre Dame: Race Against The Inferno,Paul Bandey,2019,45 min,Documentary,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral.",disney,45,min
s413,TV Show,Once Upon a Time,"Ginnifer Goodwin, Jennifer Morrison, Robert Carlyle, Lana Parrilla, Jared Gilmore, Josh Dallas",2011,7 Seasons,"Action-Adventure, Fantasy, Soap Opera / Melodrama",Fairy tale characters inhabit a land of good and evil.,disney,7,Seasons
s414,TV Show,Soy Luna,"Karol Sevilla, Ruggero Pasquarelli, Valentina Zenere, Lucila Gandolfo, Michael Ronda, Carolina Kopelioff",2015,3 Seasons,"Comedy, Coming of Age, Drama",Luna will learn that love transcends distance.,disney,3,Seasons
s415,TV Show,Violetta,"Diego Ramos, Martina Stoessel, Pablo Espinosa, Jorge Blanco, Mercedes Lambre, Nicolás Garnier",2011,3 Seasons,"Coming of Age, Drama, Music",Violetta is a talented teen following her dream.,disney,3,Seasons
s416,Movie,Christopher Robin,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Davies, Ronke Adekoluejo",2018,109 min,"Drama, Family, Fantasy",Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.,disney,109,min
s417,Movie,D2: The Mighty Ducks,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",1994,107 min,"Comedy, Drama, Family",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.,disney,107,min
s418,Movie,D3: The Mighty Ducks,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",1996,104 min,"Comedy, Coming of Age, Drama",The Mighty Ducks inherit a new coach and a new set of problems.,disney,104,min
s419,TV Show,Earth to Ned,sin dato,2020,1 Season,"Comedy, Parody, Science Fiction","From the Jim Henson Company, alien commander Ned hosts a late-night talk show with celebrity guests.",disney,1,Season
s420,Movie,Trick or Treat,sin dato,1952,9 min,"Animation, Family, Fantasy","Donald plays a trick on his nephews, but a witch helps them out. See details for advisory.",disney,9,min
s421,Movie,Alice Through the Looking Glass,"Johnny Depp, Anne Hathaway, Mia Wasikowska, Matt Lucas, Rhys Ifans, Helena Carter",2016,115 min,"Action-Adventure, Fantasy",Alice returns to Underland to save the Mad Hatter in a race against time.,disney,115,min
s422,Movie,Phineas and Ferb The Movie: Candace Against the Universe,"Ashley Tisdale, Vincent Martella, Ali Wong, Dan Povenmire, Alyson Stoner, Maulik Pancholy",2020,86 min,"Action-Adventure, Animation, Comedy","Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens.",disney,86,min
s423,Movie,Back to the Titanic,sin dato,2020,44 min,"Documentary, Historical",Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.,disney,44,min
s424,Movie,Beauty and the Beast,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",2017,138 min,"Family, Fantasy, Musical",Belle must look beyond the Beast’s exterior to find the true Prince within.,disney,138,min
s425,Movie,Mars: One Day on the Red Planet,Nigel Barber,2020,88 min,Documentary,"An epic journey around the real Mars – built from data, as you’ve never seen it before.",disney,88,min
s426,Movie,The One and Only Ivan,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",2020,95 min,"Drama, Family, Fantasy",An adaptation of the award-winning book about a very special gorilla.,disney,95,min
s427,TV Show,"Weirdest, Bestest, Truest","Charlie Engelman, Kirby Engelman",2018,1 Season,"Animals & Nature, Kids, Variety",Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True!,disney,1,Season
s428,TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),"Jet Jurgensmeyer, Christian Simon, Megan Hilty",2020,1 Season,"Animation, Kids, Music",What happens after the baby animals are delivered?,disney,1,Season
s429,Movie,Disney Zombies 2,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Chandler Kinney",2020,84 min,"Coming of Age, Fantasy, Musical",Zed and Addison encounter a group of werewolves!,disney,84,min
s430,Movie,India's Wild Leopards,"Sandesh Kadur, Priya Singh",2020,45 min,"Animals & Nature, Documentary",Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.,disney,45,min
s431,TV Show,Jungle Animal Rescue,Dan Nachtrab,2019,1 Season,"Animals & Nature, Docuseries, Family",A team of conservationists and veterinarians helps India’s people and wildlife coexist.,disney,1,Season
s432,Movie,Magic Camp,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",2020,101 min,"Comedy, Family",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,disney,101,min
s433,Movie,Marvel Studios' Ant-Man and the Wasp,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian",2018,120 min,"Action-Adventure, Comedy, Science Fiction",Ant-Man and the Wasp must join forces to uncover secrets from the past.,disney,120,min
s434,TV Show,Nature Boom Time,"Charlie Engelman, Kirby Engelman, Patrick Rahill",2016,1 Season,"Animals & Nature, Docuseries, Kids","Charlie, Kirby, and Patrick travel around the U.S. to learn about what makes nature awesome.",disney,1,Season
s435,TV Show,Sam's Zookeeper Challenge,Sam Peltz,2018,1 Season,"Animals & Nature, Docuseries, Family",Sam is put to the test to care for animals in “Zookeeper’s Challenge.”,disney,1,Season
s436,TV Show,Scuba Sam's World,Sam Peltz,2018,1 Season,"Animals & Nature, Docuseries, Kids",Take a deep dive and learn all about the beloved sea animals in our oceans!,disney,1,Season
s437,TV Show,Spaced Out,Ben DeTour,2018,1 Season,"Docuseries, Kids",Learn about our universe through imagery taken from the Hubble Space Telescope.,disney,1,Season
s438,Movie,The Greatest Showman,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",2017,106 min,"Biographical, Drama, Family",A bold and original musical celebrating the birth of show business and dreams coming to life.,disney,106,min
s439,TV Show,Weird But True!,"Charlie Engelman, Kirby Engelman",2017,3 Seasons,"Animals & Nature, Kids, Variety","Come along as we reveal fun, strange & surprising facts about our world in Weird But True!",disney,3,Seasons
s440,TV Show,Wild Cats of India,James Murray,2020,1 Season,"Animals & Nature, Docuseries, Family",Journey across the country’s landscapes to paint an intimate portrait of India's Wild Cats.,disney,1,Season
s441,Movie,Howard,Howard Ashman,2020,95 min,"Biographical, Documentary, Music","“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics.",disney,95,min
s442,Movie,Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina, Richard Coyle, Toby Kebbell",2010,117 min,"Action-Adventure, Fantasy",A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.,disney,117,min
s443,Movie,Star Wars: Galaxy's Edge-Adventure Awaits,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",2019,81 min,"Documentary, Family",Celebrating Disney’s new land that brings Star Wars to life!,disney,81,min
s444,Movie,The Hidden Kingdoms of China,Michelle Yeoh,2020,88 min,"Animals & Nature, Documentary, Family",THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.,disney,88,min
s445,Movie,The Peanuts Movie,"Noah Schnapp, Alex Garfin, Hadley Miller, Mariel Sheets, Venus Schultheis, Noah Johnston",2015,89 min,"Animation, Comedy, Family","Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest.",disney,89,min
s446,TV Show,UFO Europe: The Untold Stories,Robert Ashby,2012,1 Season,"Docuseries, Reality",A selection of stories featuring encounters and sightings of the unexplained.,disney,1,Season
s447,TV Show,Animal Showdown,Brian Peck,2018,1 Season,"Animals & Nature, Docuseries, Family",Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.,disney,1,Season
s448,TV Show,Best Job Ever,sin dato,2018,1 Season,"Animals & Nature, Docuseries, Family",Check out the cool jobs Nat Geo explorers do every day!,disney,1,Season
s449,Movie,Big Cat Games,Boone Smith,2015,44 min,"Animals & Nature, Family, Reality","Boone Smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title.",disney,44,min
s450,Movie,Black Is King,Beyoncé Knowles-Carter,2020,86 min,"Dance, Music, Musical","This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens.",disney,86,min
s451,Movie,Cradle of the Gods,Tim Conrad,2012,45 min,"Documentary, Historical","Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple.",disney,45,min
s452,TV Show,Destination World,Rick Robles,2018,1 Season,"Animals & Nature, Docuseries, Kids",Check out the continents and find out what makes them unique from each other!,disney,1,Season
s453,TV Show,Fearless Adventures with Jack Randall,Jack Randall,2018,1 Season,"Animals & Nature, Docuseries, Family",Check out Jack Randall go head-to-head with all kinds of critters.,disney,1,Season
s454,Movie,Hunt for the Abominable Snowman,Stephen Rashbrook,2011,45 min,Documentary,"Across the Himalayas are stories of the yeti, or abominable snowman.",disney,45,min
s455,Movie,Incredibles 2,"Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile",2018,118 min,"Action-Adventure, Animation, Family",The Incredibles spring into action when a dangerous new villain emerges.,disney,118,min
s456,TV Show,King Fishers,Stephen Mangan,2013,1 Season,"Action-Adventure, Animals & Nature, Docuseries","With so many fishermen and so many fishing disciplines, who is best?",disney,1,Season
s457,Movie,Lost Temple of the Inca,Dan Nachtrab,2020,44 min,Documentary,A scientist discovers artifacts in Peru that could lead him to one of the country’s missing temples.,disney,44,min
s458,TV Show,Marvel Funko Shorts,sin dato,2016,2 Seasons,"Action-Adventure, Animation, Anthology",Marvel and Funko present Pop! style Marvel heroes.,disney,2,Seasons
s459,TV Show,Muppets Now,"Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson",2020,1 Season,"Comedy, Family, Lifestyle",The Muppets have a brand-new series ready to stream… but only if they can upload it in time.,disney,1,Season
s460,Movie,Surviving the Mount St. Helens Disaster,Bill Ratner,2020,44 min,"Animals & Nature, Documentary",Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.,disney,44,min
s461,TV Show,What Sam Sees,Sam Peltz,2018,1 Season,"Animals & Nature, Docuseries, Family","Join Sam on an underwater journey and learn about sharks, eels, and more!",disney,1,Season
s462,Movie,Pirates of the Caribbean: Dead Men Tell No Tales,"Johnny Depp, Javier Bardem, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani",2017,129 min,"Action-Adventure, Fantasy",Captain Jack Sparrow searches for the Trident of Poseidon.,disney,129,min
s463,TV Show,PJ Masks (Shorts),sin dato,2017,1 Season,"Action-Adventure, Animation, Kids",The PJ Masks are protecting the city from villains!,disney,1,Season
s464,TV Show,Rogue Trip,"Bob Woodruff, Mack Woodruff",2020,1 Season,"Buddy, Docuseries",Bob Woodruff and his son travel the world searching for beauty and adventure in unexpected places.,disney,1,Season
s465,TV Show,Wild Congo,Corey Johnson,2014,1 Season,"Animals & Nature, Docuseries, Family",The Congo: the most mysterious river in the dark heart of Africa.,disney,1,Season
s466,TV Show,Wild Sri Lanka,Paul McGann,2016,1 Season,"Animals & Nature, Docuseries",This three-part series reveals the spectacular nature and amazing wildlife of Sri Lanka.,disney,1,Season
s467,Movie,A Pre-Opening Report from Disneyland,"Walt Disney, Winston Hibler",1955,55 min,"Documentary, Family, Historical",Walt provides a look at the details needed to get the Park ready to open. See details for advisory.,disney,55,min
s468,Movie,Diary of a Wimpy Kid: The Long Haul,"Jason Drucker, Alicia Silverstone, Tom Scott, Charlie Wright, Owen Asztalos, Dylan Walters",2017,92 min,"Comedy, Family",A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!,disney,92,min
s469,TV Show,Disney Junior Music Lullabies,sin dato,2018,1 Season,"Animation, Kids, Music",Disney Junior songs reimagined as calming lullabies.,disney,1,Season
s470,Movie,Lost City of Machu Picchu,Craig Sechler,2019,44 min,"Documentary, Family",Who were the mysterious people who built Machu Picchu and why?,disney,44,min
s471,TV Show,Super Robot Monkey Team Hyperforce Go!,"Greg Cipes, Kevin Michael	Richardson, Tom Kenny, Kari Wahlgren, Clancy Brown, Corey Feldman",2004,2 Seasons,"Action-Adventure, Animation, Anime",Chiro and a team of five Robot Monkeys defend Shuggazoom City against Skeleton King and his minions.,disney,2,Seasons
s472,Movie,The Mouseketeers at Walt Disney World,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",1977,56 min,"Coming of Age, Drama, Family",The Mouseketeers arrive to perform at Walt Disney World. See details for advisory.,disney,56,min
s473,TV Show,Wild Chile,Peter Venn,2017,1 Season,"Animals & Nature, Docuseries, Family",This beautiful and intriguing blue-chip series explores the incredibly varied wildlife of Chile.,disney,1,Season
s474,Movie,X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne",2016,144 min,"Action-Adventure, Family, Science Fiction","Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",disney,144,min
s475,TV Show,Cosmos: A Spacetime Odyssey,"Neil Tyson, Stoney Emshwiller",2013,1 Season,"Action-Adventure, Docuseries, Family",A 13-part adventure across the universe of space and time.,disney,1,Season
s476,Movie,Hamilton: History Has Its Eyes on You,"Lin-Manuel Miranda, Thomas Kail, Christopher Jackson, Leslie Odom Jr., Phillipa Soo, Renee Goldsberry",2020,47 min,"Historical, Musical","Robin Roberts hosts a discussion with Lin-Manuel Miranda, Thomas Kail, and original cast members.",disney,47,min
s477,Movie,Solo: A Star Wars Story,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge",2018,135 min,"Action-Adventure, Crime, Science Fiction",Witness the beginning of the Star Wars saga's most unlikely hero.,disney,135,min
s478,Movie,X-Men: Days of Future Past,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult",2014,132 min,"Action-Adventure, Family, Science Fiction",Characters from the X-Men trilogy join their younger selves to change the past and save our future.,disney,132,min
s479,Movie,The Undefeated Presents: Hamilton In-Depth,"Lin-Manuel Miranda, Thomas Kail, Renee Goldsberry, Leslie Odom Jr., Daveed Diggs, Phillipa Soo",2020,33 min,"Historical, Musical",The Undefeated Presents: Hamilton In-Depth is a roundtable discussion with 9 stars and the director.,disney,33,min
s480,TV Show,Animal ER,Dr. Brian Beale,2016,2 Seasons,"Animals & Nature, Docuseries, Family",Animal ER brings you up close to the bleeding edge of animal care.,disney,2,Seasons
s481,Movie,Diary of a Wimpy Kid: Rodrick Rules,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn",2011,100 min,"Comedy, Family","In 7th grade, Greg must bond with his brother, Rodrick while also impressing the new girl in town.",disney,100,min
s482,Movie,Hamilton,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",2020,160 min,"Biographical, Historical, Musical",The filmed version of Broadway original “Hamilton” that soars in music and tale.,disney,160,min
s483,Movie,Ice Age: Collision Course,"Ray Romano, John Leguizamo, Denis Leary, Adam Devine, Jesse Ferguson, Max Greenfield",2016,97 min,"Action-Adventure, Animation, Comedy","When their world is threatened, Manny and friends go on a quest to survive the Scrat-tastrophe!",disney,97,min
s484,Movie,Race to Witch Mountain,"Dwayne Johnson, AnnaSophia Robb, Carla Gugino, Ciarán Hinds, Alexander Ludwig, Tom Scott",2009,100 min,"Action-Adventure, Family, Science Fiction",A Las Vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.,disney,100,min
s485,Movie,The Big Green,"Steve Guttenberg, Olivia d'Abo, Jay Sanders, John Terry, Chauncey Leopardi, Patrick Renna",1995,100 min,"Comedy, Family, Sports",A group of bored misfits become local soccer heroes in a sleepy Texas town.,disney,100,min
s486,Movie,The Mighty Ducks,"Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling, Josef Sommer, Joshua Jackson",1992,104 min,"Comedy, Drama, Sports",A hotshot lawyer reluctantly coaches a hapless pee wee hockey team.,disney,104,min
s487,Movie,While You Were Sleeping,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Glynis Johns, Micole Mercurio",1995,104 min,"Comedy, Drama, Romance",A lonely subway worker is mistaken for a comatose man's finacée.,disney,104,min
s488,TV Show,Disney A.N.T. Farm,"China McClain, Sierra McCormick, Jake Short, Stefanie Scott, Carlon Jeffery",2011,3 Seasons,"Comedy, Coming of Age, Music",Chyna Sparks and her friends are the newest members of the A.N.T. program.,disney,3,Seasons
s489,TV Show,Into the Unknown: Making Frozen 2,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Jennifer Lee, Chris Buck",2020,1 Season,"Docuseries, Family","For the first time, go behind-the-scenes into the making of the #1 animated film, Frozen 2.",disney,1,Season
s490,Movie,Man in Space,"Walt Disney, Dick Tufeld, Ward Kimball, Willy Ley, Dr. Heinz Haber, Dr. Wernher von Braun",1955,49 min,"Documentary, Family","From the TV series Disneyland, a look at the history of space travel. See details for advisory.",disney,49,min
s491,Movie,Mars and Beyond,"Walt Disney, Paul Frees, Dr. Ernst Stuhlinger, Dr. Wernher von Braun, Dr. E.C. Slipher",1957,53 min,"Animation, Documentary, Family",An animated look at humankind's early views of the universe and life on Mars.,disney,53,min
s492,Movie,Marvel Studios' Avengers: Infinity War,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle",2018,152 min,"Action-Adventure, Fantasy, Science Fiction",The Avengers must be willing to sacrifice all to defeat Thanos.,disney,152,min
s493,Movie,Tarzan,"Tony Goldwyn, Minnie Driver, Glenn Close, Alex Linz, Rosie O'Donnell, Brian Blessed",1999,93 min,"Action-Adventure, Animation, Coming of Age","Adopted by gorillas, Tarzan’s life changes forever when he meets other humans.",disney,93,min
s494,Movie,Tarzan II,"Harrison Chad, George Carlin, Brad Garrett, Ron Perlman, Estelle Harris, Glenn Close",2005,75 min,"Action-Adventure, Animation, Coming of Age",Young Tarzan decides his ape family would be better off without him.,disney,75,min
s495,TV Show,101 Dalmatians (Series),"Jeff Bennett, Christine Cavanaugh, Tara Charendoff, Jim Cummings, Tress MacNeille, Charlotte Rae",1997,1 Season,"Action-Adventure, Animation, Kids",The Dearly Family move to a new farm home in the country.,disney,1,Season
s496,Movie,Big Sur: Wild California,Hector Elizondo,2010,47 min,"Animals & Nature, Documentary, Family",Why is California's Big Sur coastline experiencing an explosion in wildlife?,disney,47,min
s497,TV Show,Disney Junior Muppet Babies Play Date,sin dato,2018,1 Season,"Comedy, Kids",Time for a playdate with the Muppet Babies!,disney,1,Season
s498,Movie,Egypt's Treasure Guardians,Dominic Frisby,2016,44 min,"Documentary, Historical","This programme follows a select cast of individuals, determined to bring Egypt back from the brink.",disney,44,min
s499,Movie,The Jungle Book,"Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito",2016,108 min,"Action-Adventure, Coming of Age, Family",A man-cub who’s been raised by a family of wolves eludes a dangerous tiger.,disney,108,min
s500,Movie,The Pirate Fairy,"Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné , Megan Hilty",2014,78 min,"Action-Adventure, Animation, Family",Tinker Bell and friends face the pirates of Skull Rock to save a friend.,disney,78,min
s501,Movie,Trail Mix-Up,"Charles Fleischer, Kathleen Turner, April Winchell, Lou Hirsch, Corey Burton, Frank Welker",1993,9 min,"Action-Adventure, Animation, Comedy",Roger Rabbit is left to care for Baby Herman in Yellowstone National Park.,disney,9,min
s502,Movie,Tummy Trouble,"Charles Fleischer, April Winchell, Lou Hirsch, Corey Burton, Richard Williams, Kathleen Turner",1989,8 min,"Action-Adventure, Animation, Comedy",Roger Rabbit is left to babysit with the mischievous Baby Herman,disney,8,min
s503,Movie,Artemis Fowl,sin dato,2020,96 min,"Action-Adventure, Crime, Fantasy",A descendant of a long line of criminal masterminds seeks to find his father who has disappeared.,disney,96,min
s504,TV Show,Mighty Med,"Bradley Perry, Jake Short, Paris Berelc, Devan Leos",2013,2 Seasons,"Comedy, Coming of Age, Medical","Check in to Mighty Med, the secret superhero hospital.",disney,2,Seasons
s505,Movie,The Liberty Story,Walt Disney,1957,48 min,"Drama, Family, Historical",Walt Disney presents segments of America's fight for freedom. See details for advisory.,disney,48,min
s506,Movie,The Story of the Animated Drawing,sin dato,1955,49 min,"Documentary, Family",Walt Disney discusses the history of animation. See details for advisory.,disney,49,min
s507,Movie,Walt & El Grupo,sin dato,2009,108 min,"Documentary, Historical",The U.S. Government sends Walt Disney to South America on a goodwill tour.,disney,108,min
s508,TV Show,Alaska's Grizzly Gauntlet,Les Stroud,2018,1 Season,"Animals & Nature, Docuseries, Family",Survival expert Les Stroud explores the world of Alaska’s most formidable wildlife.,disney,1,Season
s509,Movie,America's Greatest Animals,"Bray Poor, Casey Anderson, Brady Barr, Andy Casagrande, Mireya Mayor",2012,90 min,"Animals & Nature, Documentary, Family",Nat Geo WILD goes on a search for America's 'big five.' Can America compete with Africa's beasts?,disney,90,min
s510,Movie,Chasing the Equinox,Stefan Frank,2019,45 min,Documentary,Ancient civilizations shared an incredible knowledge of the sun.,disney,45,min
s511,TV Show,Howie Mandel's Animals Doing Things,Howie Mandel,2017,2 Seasons,"Animals & Nature, Comedy, Family",This show combines Howie Mandel’s lovable comedic genius with clips of animals doing crazy things.,disney,2,Seasons
s512,TV Show,Japan: Between Earth and Sky,Bray Poor,2017,1 Season,"Animals & Nature, Docuseries",Japan: Between Earth and Sky reveals the mystery of some the most beautiful sites in the country.,disney,1,Season
